TREE NAME,METHOD NAME,DATASET TYPE,DATASET SIZE,AVERAGE,STD DEV,STR COUNT,REPEAT AMT,FIXED STR LEN,MIN STR LEN,MAX STR LEN
TWO_THREE_TREE,insertElement,range_nearly_sorted,1,4.9600028432905674e-05,0.0,1,10,11,,
TWO_THREE_TREE,insertElement,range_nearly_sorted,2,4.704995080828667e-05,6.349990144371986e-06,2,10,,21,25
TWO_THREE_TREE,insertElement,range_nearly_sorted,3,5.246663931757212e-05,8.188346600211255e-06,3,10,,31,44
TWO_THREE_TREE,insertElement,range_nearly_sorted,4,5.514998338185251e-05,9.836064619160599e-06,4,10,,23,35
TWO_THREE_TREE,insertElement,range_nearly_sorted,5,5.591998342424631e-05,5.481064302578958e-06,5,10,,19,47
TWO_THREE_TREE,insertElement,range_nearly_sorted,6,6.660000265886386e-05,1.2758760882146577e-05,6,10,,12,45
TWO_THREE_TREE,insertElement,range_nearly_sorted,7,5.897144520921367e-05,1.0124721231795991e-05,7,10,,16,49
TWO_THREE_TREE,insertElement,range_nearly_sorted,8,5.1437498768791556e-05,8.537431420017879e-06,8,10,,10,36
TWO_THREE_TREE,insertElement,range_nearly_sorted,9,5.17888693138957e-05,6.5605703178730124e-06,9,10,,11,48
LLRB_TREE,insertElement,set_random,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,set_random,1,1.4199991710484028e-05,0.0,1,10,10,,
LLRB_TREE,insertElement,set_random,2,1.6400008462369442e-05,6.00004568696022e-07,2,10,10,,
LLRB_TREE,insertElement,set_random,3,1.8033315427601337e-05,2.3156101481304213e-06,3,10,10,,
LLRB_TREE,insertElement,set_random,4,2.247499651275575e-05,8.360399718448692e-06,4,10,10,,
LLRB_TREE,insertElement,set_random,5,4.348000511527062e-05,5.384967060554492e-06,5,10,10,,
LLRB_TREE,insertElement,set_random,6,5.0016678869724274e-05,1.4444301232779815e-05,6,10,10,,
LLRB_TREE,insertElement,set_random,7,5.347141996026039e-05,7.426557527220329e-06,7,10,10,,
LLRB_TREE,insertElement,set_random,8,3.7675024941563606e-05,1.535796463965944e-05,8,10,10,,
LLRB_TREE,insertElement,set_random,9,2.317776023927662e-05,3.2089221253248736e-06,9,10,10,,
LLRB_TREE,insertElement,set_sorted,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,set_sorted,1,2.180004958063364e-05,0.0,1,10,10,,
LLRB_TREE,insertElement,set_sorted,2,2.3600005079060793e-05,6.000627763569355e-07,2,10,10,,
LLRB_TREE,insertElement,set_sorted,3,2.4199990245203178e-05,3.741789627416793e-07,3,10,10,,
LLRB_TREE,insertElement,set_sorted,4,2.3200002033263445e-05,9.97454862392579e-07,4,10,10,,
LLRB_TREE,insertElement,set_sorted,5,2.343999221920967e-05,2.3728352198890046e-06,5,10,10,,
LLRB_TREE,insertElement,set_sorted,6,2.1533322675774496e-05,1.2418687334420446e-06,6,10,10,,
LLRB_TREE,insertElement,set_sorted,7,2.9028592897312982e-05,1.3944962301122834e-05,7,10,10,,
LLRB_TREE,insertElement,set_sorted,8,4.736251139547676e-05,1.2659279943586743e-05,8,10,10,,
LLRB_TREE,insertElement,set_sorted,9,4.2199997955726256e-05,3.587029027505181e-06,9,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,set_nearly_sorted,1,4.67000063508749e-05,0.0,1,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,2,0.0005879999371245503,0.0005459999665617943,2,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,3,4.1766674257814884e-05,3.6890059640560704e-06,3,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,4,0.0011635750124696642,0.001938181176125358,4,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,5,3.364000003784895e-05,3.470784901276213e-06,5,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,6,2.8350021845350664e-05,3.2107930064189883e-06,6,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,7,2.642858973039048e-05,1.8335791957880237e-06,7,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,8,2.6599998818710446e-05,2.6514030736995634e-06,8,10,10,,
LLRB_TREE,insertElement,set_nearly_sorted,9,2.6522230149971114e-05,2.3878242921408318e-06,9,10,10,,
LLRB_TREE,insertElement,range_random,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,range_random,1,2.850010059773922e-05,0.0,1,10,21,,
LLRB_TREE,insertElement,range_random,2,2.294994192197919e-05,3.0500232242047787e-06,2,10,,12,14
LLRB_TREE,insertElement,range_random,3,2.620000547418992e-05,2.7796605371180075e-06,3,10,,26,38
LLRB_TREE,insertElement,range_random,4,2.762500662356615e-05,2.6827377998318712e-06,4,10,,30,44
LLRB_TREE,insertElement,range_random,5,2.7759955264627935e-05,2.252625523334638e-06,5,10,,10,33
LLRB_TREE,insertElement,range_random,6,2.791664640729626e-05,1.9743103844178954e-06,6,10,,13,36
LLRB_TREE,insertElement,range_random,7,2.6128587446042468e-05,2.9265740986000986e-06,7,10,,14,48
LLRB_TREE,insertElement,range_random,8,3.6950004869140685e-05,2.5037410815239863e-05,8,10,,14,42
LLRB_TREE,insertElement,range_random,9,3.827777173784044e-05,4.97991074545239e-06,9,10,,10,48
LLRB_TREE,insertElement,range_sorted,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,range_sorted,1,3.350002225488424e-05,0.0,1,10,46,,
LLRB_TREE,insertElement,range_sorted,2,3.15000070258975e-05,1.9000144675374031e-06,2,10,,38,49
